date,keyword,source,ratio
2026-03-05,건강 검진,related_top(건강),
2026-03-05,건강 보험,related_top(건강),
2026-03-05,정신 건강,related_top(건강),
2026-03-05,국민 건강,related_top(건강),
2026-03-05,건강 보험 공단,related_top(건강),
2026-03-05,국민 건강 보험,related_top(건강),
2026-03-05,정신 건강 의학과,related_top(건강),
2026-03-05,국민 건강 보험 공단,related_top(건강),
2026-03-05,영유아 건강 검진,related_top(건강),
2026-03-05,건강 검진 센터,related_top(건강),
2026-03-05,건강검진,naver,25.80045
2026-03-05,다이어트,naver,9.51234
2026-03-05,운동·헬스,naver,15.4124
2026-03-05,영양·건강기능식품,naver,39.43955
2026-03-05,정신건강,naver,9.83526
