date,keyword,source,ratio
2026-09-10,건강 검진,related_top(건강),
2026-09-10,건강 보험,related_top(건강),
2026-09-10,국민 건강,related_top(건강),
2026-09-10,건강 보험 공단,related_top(건강),
2026-09-10,정신 건강 의학과,related_top(건강),
2026-09-10,국민 건강 보험,related_top(건강),
2026-09-10,국민 건강 보험 공단,related_top(건강),
2026-09-10,건강 관리 협회,related_top(건강),
2026-09-10,건강 검진 예약,related_top(건강),
2026-09-10,국가 건강 검진,related_top(건강),
2026-09-10,건강검진,naver,28.85034
2026-09-10,다이어트,naver,8.7923
2026-09-10,운동·헬스,naver,11.3383
2026-09-10,영양·건강기능식품,naver,42.38507
2026-09-10,정신건강,naver,8.63399
