date,keyword,source,ratio
2026-08-20,건강 검진,related_top(건강),
2026-08-20,건강 보험,related_top(건강),
2026-08-20,정신 건강,related_top(건강),
2026-08-20,국민 건강,related_top(건강),
2026-08-20,정신 건강 의학과,related_top(건강),
2026-08-20,건강 보험 공단,related_top(건강),
2026-08-20,국민 건강 보험,related_top(건강),
2026-08-20,건강 검진 센터,related_top(건강),
2026-08-20,국가 건강 검진,related_top(건강),
2026-08-20,국민 건강 보험 공단,related_top(건강),
2026-08-20,건강검진,naver,29.97304
2026-08-20,다이어트,naver,9.40679
2026-08-20,운동·헬스,naver,12.26866
2026-08-20,영양·건강기능식품,naver,40.77706
2026-08-20,정신건강,naver,7.57445
