collected_date,keyword_group,period,ratio
2026-08-09,건강검진,2026-07-11,18.29375
2026-08-09,건강검진,2026-07-12,16.69289
2026-08-09,건강검진,2026-07-13,26.94485
2026-08-09,건강검진,2026-07-14,25.56795
2026-08-09,건강검진,2026-07-15,26.90766
2026-08-09,건강검진,2026-07-16,25.59975
2026-08-09,건강검진,2026-07-17,17.2177
2026-08-09,건강검진,2026-07-18,17.08831
2026-08-09,건강검진,2026-07-19,17.46887
2026-08-09,건강검진,2026-07-20,30.07131
2026-08-09,건강검진,2026-07-21,28.14503
2026-08-09,건강검진,2026-07-22,26.93385
2026-08-09,건강검진,2026-07-23,27.43685
2026-08-09,건강검진,2026-07-24,27.51595
2026-08-09,건강검진,2026-07-25,20.01906
2026-08-09,건강검진,2026-07-26,19.63953
2026-08-09,건강검진,2026-07-27,30.3476
2026-08-09,건강검진,2026-07-28,29.68529
2026-08-09,건강검진,2026-07-29,30.229
2026-08-09,건강검진,2026-07-30,29.58414
2026-08-09,건강검진,2026-07-31,28.78543
2026-08-09,건강검진,2026-08-01,19.8115
2026-08-09,건강검진,2026-08-02,18.99407
2026-08-09,건강검진,2026-08-03,31.51263
2026-08-09,건강검진,2026-08-04,29.98749
2026-08-09,건강검진,2026-08-05,29.13916
2026-08-09,건강검진,2026-08-06,29.38807
2026-08-09,건강검진,2026-08-07,27.33195
2026-08-09,건강검진,2026-08-08,19.41416
2026-08-09,다이어트,2026-07-11,12.21538
2026-08-09,다이어트,2026-07-12,12.49781
2026-08-09,다이어트,2026-07-13,10.42555
2026-08-09,다이어트,2026-07-14,10.08872
2026-08-09,다이어트,2026-07-15,10.16246
2026-08-09,다이어트,2026-07-16,10.5259
2026-08-09,다이어트,2026-07-17,11.20377
2026-08-09,다이어트,2026-07-18,11.34205
2026-08-09,다이어트,2026-07-19,13.35335
2026-08-09,다이어트,2026-07-20,10.20629
2026-08-09,다이어트,2026-07-21,10.54417
2026-08-09,다이어트,2026-07-22,11.14297
2026-08-09,다이어트,2026-07-23,11.00357
2026-08-09,다이어트,2026-07-24,11.70139
2026-08-09,다이어트,2026-07-25,12.08194
2026-08-09,다이어트,2026-07-26,12.09269
2026-08-09,다이어트,2026-07-27,10.40234
2026-08-09,다이어트,2026-07-28,10.7487
2026-08-09,다이어트,2026-07-29,10.4507
2026-08-09,다이어트,2026-07-30,10.35222
2026-08-09,다이어트,2026-07-31,10.33198
2026-08-09,다이어트,2026-08-01,12.09063
2026-08-09,다이어트,2026-08-02,12.45019
2026-08-09,다이어트,2026-08-03,9.95401
2026-08-09,다이어트,2026-08-04,10.25472
2026-08-09,다이어트,2026-08-05,10.35295
2026-08-09,다이어트,2026-08-06,10.01979
2026-08-09,다이어트,2026-08-07,10.38553
2026-08-09,다이어트,2026-08-08,11.43966
2026-08-09,운동·헬스,2026-07-11,18.7726
2026-08-09,운동·헬스,2026-07-12,18.78168
2026-08-09,운동·헬스,2026-07-13,14.93544
2026-08-09,운동·헬스,2026-07-14,14.51808
2026-08-09,운동·헬스,2026-07-15,13.56635
2026-08-09,운동·헬스,2026-07-16,14.87849
2026-08-09,운동·헬스,2026-07-17,20.4356
2026-08-09,운동·헬스,2026-07-18,18.63068
2026-08-09,운동·헬스,2026-07-19,18.35203
2026-08-09,운동·헬스,2026-07-20,15.01974
2026-08-09,운동·헬스,2026-07-21,14.45897
2026-08-09,운동·헬스,2026-07-22,14.69725
2026-08-09,운동·헬스,2026-07-23,14.41516
2026-08-09,운동·헬스,2026-07-24,14.57677
2026-08-09,운동·헬스,2026-07-25,17.73225
2026-08-09,운동·헬스,2026-07-26,18.19231
2026-08-09,운동·헬스,2026-07-27,15.13242
2026-08-09,운동·헬스,2026-07-28,14.22603
2026-08-09,운동·헬스,2026-07-29,14.00962
2026-08-09,운동·헬스,2026-07-30,14.08169
2026-08-09,운동·헬스,2026-07-31,14.59919
2026-08-09,운동·헬스,2026-08-01,17.09825
2026-08-09,운동·헬스,2026-08-02,18.94979
2026-08-09,운동·헬스,2026-08-03,14.54672
2026-08-09,운동·헬스,2026-08-04,13.88139
2026-08-09,운동·헬스,2026-08-05,14.10481
2026-08-09,운동·헬스,2026-08-06,13.53166
2026-08-09,운동·헬스,2026-08-07,13.79628
2026-08-09,운동·헬스,2026-08-08,16.84531
2026-08-09,영양·건강기능식품,2026-07-11,40.38894
2026-08-09,영양·건강기능식품,2026-07-12,41.39137
2026-08-09,영양·건강기능식품,2026-07-13,39.22143
2026-08-09,영양·건강기능식품,2026-07-14,40.46915
2026-08-09,영양·건강기능식품,2026-07-15,40.36149
2026-08-09,영양·건강기능식품,2026-07-16,38.83723
2026-08-09,영양·건강기능식품,2026-07-17,40.75346
2026-08-09,영양·건강기능식품,2026-07-18,42.99821
2026-08-09,영양·건강기능식품,2026-07-19,40.86373
2026-08-09,영양·건강기능식품,2026-07-20,36.60385
2026-08-09,영양·건강기능식품,2026-07-21,38.63265
2026-08-09,영양·건강기능식품,2026-07-22,38.21019
2026-08-09,영양·건강기능식품,2026-07-23,38.24135
2026-08-09,영양·건강기능식품,2026-07-24,36.64181
2026-08-09,영양·건강기능식품,2026-07-25,39.53311
2026-08-09,영양·건강기능식품,2026-07-26,40.21132
2026-08-09,영양·건강기능식품,2026-07-27,35.43417
2026-08-09,영양·건강기능식품,2026-07-28,36.30972
2026-08-09,영양·건강기능식품,2026-07-29,36.09977
2026-08-09,영양·건강기능식품,2026-07-30,37.09487
2026-08-09,영양·건강기능식품,2026-07-31,37.10932
2026-08-09,영양·건강기능식품,2026-08-01,41.03199
2026-08-09,영양·건강기능식품,2026-08-02,40.24617
2026-08-09,영양·건강기능식품,2026-08-03,35.63914
2026-08-09,영양·건강기능식품,2026-08-04,37.8398
2026-08-09,영양·건강기능식품,2026-08-05,37.80143
2026-08-09,영양·건강기능식품,2026-08-06,38.21368
2026-08-09,영양·건강기능식품,2026-08-07,38.92083
2026-08-09,영양·건강기능식품,2026-08-08,41.9331
2026-08-09,정신건강,2026-07-11,10.32933
2026-08-09,정신건강,2026-07-12,10.63625
2026-08-09,정신건강,2026-07-13,8.47274
2026-08-09,정신건강,2026-07-14,9.3561
2026-08-09,정신건강,2026-07-15,9.00204
2026-08-09,정신건강,2026-07-16,10.15863
2026-08-09,정신건강,2026-07-17,10.38948
