date,keyword,source,ratio
2026-07-02,건강 검진,related_top(건강),
2026-07-02,정신 건강,related_top(건강),
2026-07-02,국민 건강,related_top(건강),
2026-07-02,건강 검진 병원,related_top(건강),
2026-07-02,건강 보험 공단,related_top(건강),
2026-07-02,국민 건강 보험,related_top(건강),
2026-07-02,정신 건강 의학과,related_top(건강),
2026-07-02,국민 건강 보험 공단,related_top(건강),
2026-07-02,건강 검진 센터,related_top(건강),
2026-07-02,건강 검진 결과,related_top(건강),
2026-07-02,건강검진,naver,25.13959
2026-07-02,다이어트,naver,9.32741
2026-07-02,운동·헬스,naver,14.76523
2026-07-02,영양·건강기능식품,naver,41.54823
2026-07-02,정신건강,naver,9.21954
