collected_date,keyword_group,period,ratio
2026-05-02,건강검진,2026-04-03,22.78196
2026-05-02,건강검진,2026-04-04,16.23366
2026-05-02,건강검진,2026-04-05,15.04425
2026-05-02,건강검진,2026-04-06,23.92093
2026-05-02,건강검진,2026-04-07,24.36844
2026-05-02,건강검진,2026-04-08,22.70483
2026-05-02,건강검진,2026-04-09,22.94067
2026-05-02,건강검진,2026-04-10,22.46687
2026-05-02,건강검진,2026-04-11,17.24515
2026-05-02,건강검진,2026-04-12,13.65492
2026-05-02,건강검진,2026-04-13,23.78394
2026-05-02,건강검진,2026-04-14,22.86599
2026-05-02,건강검진,2026-04-15,22.90581
2026-05-02,건강검진,2026-04-16,23.7401
2026-05-02,건강검진,2026-04-17,22.64766
2026-05-02,건강검진,2026-04-18,16.4394
2026-05-02,건강검진,2026-04-19,14.02259
2026-05-02,건강검진,2026-04-20,24.86797
2026-05-02,건강검진,2026-04-21,23.9737
2026-05-02,건강검진,2026-04-22,23.49747
2026-05-02,건강검진,2026-04-23,25.07261
2026-05-02,건강검진,2026-04-24,23.48125
2026-05-02,건강검진,2026-04-25,18.16462
2026-05-02,건강검진,2026-04-26,15.69094
2026-05-02,건강검진,2026-04-27,24.87976
2026-05-02,건강검진,2026-04-28,23.75493
2026-05-02,건강검진,2026-04-29,24.13816
2026-05-02,건강검진,2026-04-30,23.31522
2026-05-02,건강검진,2026-05-01,17.53995
2026-05-02,다이어트,2026-04-03,11.31921
2026-05-02,다이어트,2026-04-04,11.91753
2026-05-02,다이어트,2026-04-05,13.09887
2026-05-02,다이어트,2026-04-06,11.61427
2026-05-02,다이어트,2026-04-07,10.51447
2026-05-02,다이어트,2026-04-08,10.99542
2026-05-02,다이어트,2026-04-09,11.16082
2026-05-02,다이어트,2026-04-10,10.14611
2026-05-02,다이어트,2026-04-11,11.83293
2026-05-02,다이어트,2026-04-12,12.94249
2026-05-02,다이어트,2026-04-13,12.14665
2026-05-02,다이어트,2026-04-14,11.41005
2026-05-02,다이어트,2026-04-15,12.26209
2026-05-02,다이어트,2026-04-16,11.51816
2026-05-02,다이어트,2026-04-17,11.3451
2026-05-02,다이어트,2026-04-18,12.57031
2026-05-02,다이어트,2026-04-19,13.60471
2026-05-02,다이어트,2026-04-20,11.88863
2026-05-02,다이어트,2026-04-21,11.00645
2026-05-02,다이어트,2026-04-22,10.75527
2026-05-02,다이어트,2026-04-23,10.86802
2026-05-02,다이어트,2026-04-24,10.63674
2026-05-02,다이어트,2026-04-25,12.1938
2026-05-02,다이어트,2026-04-26,12.85896
2026-05-02,다이어트,2026-04-27,11.01478
2026-05-02,다이어트,2026-04-28,10.09209
2026-05-02,다이어트,2026-04-29,10.75356
2026-05-02,다이어트,2026-04-30,9.93789
2026-05-02,다이어트,2026-05-01,10.4347
2026-05-02,운동·헬스,2026-04-03,12.35133
2026-05-02,운동·헬스,2026-04-04,14.65806
2026-05-02,운동·헬스,2026-04-05,14.83064
2026-05-02,운동·헬스,2026-04-06,12.4295
2026-05-02,운동·헬스,2026-04-07,12.3486
2026-05-02,운동·헬스,2026-04-08,12.2925
2026-05-02,운동·헬스,2026-04-09,12.09242
2026-05-02,운동·헬스,2026-04-10,11.97417
2026-05-02,운동·헬스,2026-04-11,14.58106
2026-05-02,운동·헬스,2026-04-12,15.23562
2026-05-02,운동·헬스,2026-04-13,13.06465
2026-05-02,운동·헬스,2026-04-14,12.72946
2026-05-02,운동·헬스,2026-04-15,12.38938
2026-05-02,운동·헬스,2026-04-16,12.2785
2026-05-02,운동·헬스,2026-04-17,12.04708
