date,keyword,source,ratio
2026-06-05,건강 검진,related_top(건강),
2026-06-05,건강 보험,related_top(건강),
2026-06-05,건강 검진 병원,related_top(건강),
2026-06-05,국민 건강 보험,related_top(건강),
2026-06-05,건강 보험 공단,related_top(건강),
2026-06-05,정신 건강 의학과,related_top(건강),
2026-06-05,국민 건강 보험 공단,related_top(건강),
2026-06-05,건강 검진 결과,related_top(건강),
2026-06-05,건강 보험 심사 평가원,related_top(건강),
2026-06-05,건강 검진 비용,related_top(건강),
2026-06-05,건강검진,naver,26.49436
2026-06-05,다이어트,naver,11.04918
2026-06-05,운동·헬스,naver,13.50843
2026-06-05,영양·건강기능식품,naver,38.52585
2026-06-05,정신건강,naver,10.42218
