date,keyword,source,ratio
2026-03-31,건강 검진,related_top(건강),
2026-03-31,건강 보험,related_top(건강),
2026-03-31,국민 건강,related_top(건강),
2026-03-31,국민 건강 보험,related_top(건강),
2026-03-31,건강 보험 공단,related_top(건강),
2026-03-31,정신 건강 의학과,related_top(건강),
2026-03-31,청년 신체 건강 증진,related_top(건강),
2026-03-31,국민 건강 보험 공단,related_top(건강),
2026-03-31,건강 검진 센터,related_top(건강),
2026-03-31,국가 건강 검진,related_top(건강),
2026-03-31,건강검진,naver,24.96266
2026-03-31,다이어트,naver,10.8769
2026-03-31,운동·헬스,naver,12.98479
2026-03-31,영양·건강기능식품,naver,40.46473
2026-03-31,정신건강,naver,10.71093
