date,keyword,source,ratio
2026-07-09,질병 코드,related_top(질병),
2026-07-09,질병 관리청,related_top(질병),
2026-07-09,호흡 기관 질병,related_top(질병),
2026-07-09,질병 통합 관리 시스템,related_top(질병),
2026-07-09,소화 기관 질병,related_top(질병),
2026-07-09,질병 종류,related_top(질병),
2026-07-09,질병 보건 통합 관리 시스템,related_top(질병),
2026-07-09,순환 기관 질병,related_top(질병),
2026-07-09,질병 관리청 통합 관리 시스템,related_top(질병),
2026-07-09,배설 기관 질병,related_top(질병),
2026-07-09,건강검진,naver,26.04737
2026-07-09,다이어트,naver,10.70646
2026-07-09,운동·헬스,naver,14.3483
2026-07-09,영양·건강기능식품,naver,39.73165
2026-07-09,정신건강,naver,9.16621
