date,keyword,source,ratio
2026-05-02,건강 검진,related_top(건강),
2026-05-02,건강 보험,related_top(건강),
2026-05-02,정신 건강 의학과,related_top(건강),
2026-05-02,건강 보험 공단,related_top(건강),
2026-05-02,국민 건강 보험 공단,related_top(건강),
2026-05-02,건강 관리 협회,related_top(건강),
2026-05-02,국민 건강 보험 공단 장기 요양 보험,related_top(건강),
2026-05-02,국가 건강 검진,related_top(건강),
2026-05-02,건강 검진 결과,related_top(건강),
2026-05-02,건강 보험료,related_top(건강),
2026-05-02,건강검진,naver,17.53995
2026-05-02,다이어트,naver,10.4347
2026-05-02,운동·헬스,naver,17.29894
2026-05-02,영양·건강기능식품,naver,43.91681
2026-05-02,정신건강,naver,10.8096
