date,keyword,source,ratio
2026-04-17,건강 검진,related_top(건강),
2026-04-17,건강 보험,related_top(건강),
2026-04-17,국민 건강,related_top(건강),
2026-04-17,건강 보험 공단,related_top(건강),
2026-04-17,건강 식품,related_top(건강),
2026-04-17,국민 건강 보험 공단,related_top(건강),
2026-04-17,건강 검진 센터,related_top(건강),
2026-04-17,건강 기능 식품,related_top(건강),
2026-04-17,건강 보험 심사 평가원,related_top(건강),
2026-04-17,건강 검진 비용,related_top(건강),
2026-04-17,건강검진,naver,23.7401
2026-04-17,다이어트,naver,11.51816
2026-04-17,운동·헬스,naver,12.27849
2026-04-17,영양·건강기능식품,naver,42.59143
2026-04-17,정신건강,naver,9.87181
