date,keyword,source,ratio
2026-04-04,건강 검진,related_top(건강),
2026-04-04,건강 보험 공단,related_top(건강),
2026-04-04,국민 건강 보험 공단,related_top(건강),
2026-04-04,국가 건강 검진,related_top(건강),
2026-04-04,건강 보험 심사 평가원,related_top(건강),
2026-04-04,건강 검진 결과,related_top(건강),
2026-04-04,kmi 건강 검진,related_top(건강),
2026-04-04,국민 건강 보험 공단 장기 요양 보험,related_top(건강),
2026-04-04,건강 in,related_top(건강),
2026-04-04,국민 건강 보험 공단 노인 장기 요양 보험,related_top(건강),
2026-04-04,건강검진,naver,22.78196
2026-04-04,다이어트,naver,11.31921
2026-04-04,운동·헬스,naver,12.35133
2026-04-04,영양·건강기능식품,naver,41.47642
2026-04-04,정신건강,naver,12.07108
