date,keyword,source,ratio
2026-09-04,건강 검진,related_top(건강),
2026-09-04,건강 보험,related_top(건강),
2026-09-04,정신 건강,related_top(건강),
2026-09-04,국민 건강,related_top(건강),
2026-09-04,건강 보험 공단,related_top(건강),
2026-09-04,정신 건강 의학과,related_top(건강),
2026-09-04,국민 건강 보험 공단,related_top(건강),
2026-09-04,국가 건강 검진,related_top(건강),
2026-09-04,건강 관리 협회,related_top(건강),
2026-09-04,건강 검진 예약,related_top(건강),
2026-09-04,건강검진,naver,29.32901
2026-09-04,다이어트,naver,9.25006
2026-09-04,운동·헬스,naver,12.63687
2026-09-04,영양·건강기능식품,naver,39.85231
2026-09-04,정신건강,naver,8.93175
