date,keyword,source,ratio
2026-06-03,건강 검진,related_top(건강),
2026-06-03,건강 보험,related_top(건강),
2026-06-03,국민 건강,related_top(건강),
2026-06-03,국민 건강 보험 공단,related_top(건강),
2026-06-03,건강 검진 센터,related_top(건강),
2026-06-03,건강 검진 예약,related_top(건강),
2026-06-03,건강 검진 결과,related_top(건강),
2026-06-03,건강 관리 협회,related_top(건강),
2026-06-03,건강 보험료,related_top(건강),
2026-06-03,건강 검진 비용,related_top(건강),
2026-06-03,건강검진,naver,25.28597
2026-06-03,다이어트,naver,10.47247
2026-06-03,운동·헬스,naver,15.01954
2026-06-03,영양·건강기능식품,naver,39.53109
2026-06-03,정신건강,naver,9.69094
