date,keyword,source,ratio
2026-03-19,건강 검진,related_top(건강),
2026-03-19,건강 보험,related_top(건강),
2026-03-19,국민 건강,related_top(건강),
2026-03-19,건강 보험 공단,related_top(건강),
2026-03-19,정신 건강 의학과,related_top(건강),
2026-03-19,국민 건강 보험 공단,related_top(건강),
2026-03-19,건강 보험 공단 장기 요양,related_top(건강),
2026-03-19,건강 검진 센터,related_top(건강),
2026-03-19,국가 건강 검진,related_top(건강),
2026-03-19,국민 건강 보험 공단 장기 요양 보험,related_top(건강),
2026-03-19,건강검진,naver,25.35463
2026-03-19,다이어트,naver,10.39875
2026-03-19,운동·헬스,naver,12.69965
2026-03-19,영양·건강기능식품,naver,41.36044
2026-03-19,정신건강,naver,10.18653
