date,keyword,source,ratio
2026-07-10,건강 검진,related_top(건강),
2026-07-10,건강 보험,related_top(건강),
2026-07-10,국민 건강,related_top(건강),
2026-07-10,정신 건강 의학과,related_top(건강),
2026-07-10,건강 보험 공단,related_top(건강),
2026-07-10,국민 건강 보험,related_top(건강),
2026-07-10,건강 식품,related_top(건강),
2026-07-10,국민 건강 보험 공단,related_top(건강),
2026-07-10,건강 검진 센터,related_top(건강),
2026-07-10,건강 관리 협회,related_top(건강),
2026-07-10,건강검진,naver,25.59905
2026-07-10,다이어트,naver,10.95013
2026-07-10,운동·헬스,naver,14.29367
2026-07-10,영양·건강기능식품,naver,39.64893
2026-07-10,정신건강,naver,9.50822
