date,keyword,source,ratio
2026-07-27,건강 검진,related_top(건강),
2026-07-27,건강 보험,related_top(건강),
2026-07-27,건강 보험 공단,related_top(건강),
2026-07-27,정신 건강 의학과,related_top(건강),
2026-07-27,국민 건강 보험,related_top(건강),
2026-07-27,국민 건강 보험 공단,related_top(건강),
2026-07-27,건강 검진 예약,related_top(건강),
2026-07-27,건강 검진 센터,related_top(건강),
2026-07-27,국가 건강 검진,related_top(건강),
2026-07-27,건강 검진 금식,related_top(건강),
2026-07-27,건강검진,naver,19.63953
2026-07-27,다이어트,naver,12.09269
2026-07-27,운동·헬스,naver,18.19231
2026-07-27,영양·건강기능식품,naver,40.21132
2026-07-27,정신건강,naver,9.86415
