date,keyword,source,ratio
2026-09-11,건강 검진,related_top(건강),
2026-09-11,건강 보험,related_top(건강),
2026-09-11,정신 건강,related_top(건강),
2026-09-11,국민 건강,related_top(건강),
2026-09-11,정신 건강 의학과,related_top(건강),
2026-09-11,건강 보험 공단,related_top(건강),
2026-09-11,국민 건강 보험,related_top(건강),
2026-09-11,건강 검진 센터,related_top(건강),
2026-09-11,국가 건강 검진,related_top(건강),
2026-09-11,국민 건강 보험 공단,related_top(건강),
2026-09-11,건강검진,naver,28.68813
2026-09-11,다이어트,naver,8.91658
2026-09-11,운동·헬스,naver,11.10419
2026-09-11,영양·건강기능식품,naver,42.6099
2026-09-11,정신건강,naver,8.6812
