date,keyword,rank,title,source,published,url
2026-09-08,건강 검진,1,"인천 계양구가족센터, 통역 지원 더한 ‘원스톱 건강검진’ 운영 - 뉴스타운",뉴스타운,"Tue, 08 Sep 2026 03:17:44 GMT",https://news.google.com/rss/articles/CBMibkFVX3lxTE1mamVhR1FEQ0ROeEdBYlhHSW9zY2JFQ2tDVmxabnNvRW5hMVc4NXBiU1ZRNHJPSVRpNlRfWXJDR0l3clNnT3JIcmFfcldyaFkzZGRGZ2VXT1NSTURPX2c4cTJZcmFLS0lwOXlyQktB?oc=5
2026-09-08,건강 검진,2,"건강검진서 발견된 췌장 물혹, 암 될까? - 헬스조선",헬스조선,"Mon, 07 Sep 2026 23:00:00 GMT",https://news.google.com/rss/articles/CBMif0FVX3lxTE01eHJLU1Rrb0JEZEoyQ2NZdC1XTlBESGRycHFLYm9SRE5vRGROVEdXc1dyd3l5aHV3VU5nYnl0ZnlKcjlqVnNHWm9sRGRSTzcycXhoOE4yMjM2ZHA3d0QtQk80UGJIOTU2TEJOdjdVdlF3em9ROXhyZkd2RW9adGM?oc=5
2026-09-08,건강 검진,3,"건강검진 영상 올렸다가…유명 女아이돌, ‘불법 의료광고’ 진정 접수 왜? - 매일경제",매일경제,"Tue, 08 Sep 2026 00:58:04 GMT",https://news.google.com/rss/articles/CBMiVEFVX3lxTE9fb3c4ZnFYWm5aZ2NKcVpYeENma1o0Y1VQckNXaFgxcHZHWU5XczFDdlBpU2owU1czWnFqS1dxM0VvRWVkQnA1RWdmNzJobldjbUNYVQ?oc=5
2026-09-08,건강 검진,4,"시흥시, 취약계층 보건증 발급 수수료 감면…무료 건강검진도 운영 - 데일리안",데일리안,"Mon, 07 Sep 2026 22:14:00 GMT",https://news.google.com/rss/articles/CBMilwJBVV95cUxQTkVrdExtQmdBYmVzTnZtNDh0OE1ua2g0N2dZZGo4VlpjQ2xDNFctaDJSRUlLOUI5b09XbVgxUEFwMk5aRU1rQzFjZnZsYjBNNmxYWFJhdnJZNVBlZjlldExPb0pyd2d4dkg3WWVoYWRFSEhCWUVPTWVBQnM1Ni1Xb09BTVdJeGFaLXF3eDZBQkF5cHdGLWoxMUZPMTZPY25UeDdpMkRfNVNpaDZYZEpWbmNBMnJIQnREQXVtSUJ0Q3E4eWY5S1Q2WnNFQy1DbGJjNms4UHIwSnVScHN3WkVmTWZnU3JEbWZHYk90SE1sdmwzRlU5ejVKdUVwak1pMF9jMlZoenJuQTc3QnFIZEJEbklmczFEZU0?oc=5
2026-09-08,건강 검진,5,"금산군보건소, 9월 이동 건강검진 전개 - 중도일보",중도일보,"Tue, 08 Sep 2026 01:56:08 GMT",https://news.google.com/rss/articles/CBMiZEFVX3lxTE1DNzVqTUk4UmNnRXNlbDJiLWpySFhyY0xJZmxoZ0ZuWXRiS2FQa0FVQ05OWlpnVU5nWjBwaEJGQzl2ZUhVaGZXRTgwMGRJWmNJaDJCUktOejVDVmw5dnVLZmJQZ3k?oc=5
2026-09-08,건강 검진,6,"남원시보건소, 국가건강검진 참여 독려 박차 - gukjenews.com",gukjenews.com,"Mon, 07 Sep 2026 07:04:31 GMT",https://news.google.com/rss/articles/CBMibkFVX3lxTE43amsyZnh0NkZXM0NQczZpZFlqeDZVTk45WHlidUFIOGtpTXhqZE9GTFVzYTlIa1VtbHNHNHl4eDMzMjdLOEtNRFFMTm1DNkJheGdUQV9zTXplS0JySG5TWFFFRTZ4Wl9nWE5RWGZ3?oc=5
2026-09-08,건강 검진,7,"아이들 미연, 수면내시경 공개 후 '날벼락'…건강검진 영상 '의료법 위반' 진정 제기 [엑's 이슈] - v.daum.net",v.daum.net,"Tue, 08 Sep 2026 01:15:09 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTFBIcGNiSldVRzZ5QllYYnByVHJOSkhSMTMyaHZ2c2NNcl9wWUZocU5xNEhxSmI2M25CNWZwVWhvU0RxU01vTDJrd1FaSzBOdnM?oc=5
2026-09-08,건강 검진,8,"아이들 미연, 첫 건강검진에 의료법 위반 의혹 ‘민원 제기’ - 스포츠경향",스포츠경향,"Tue, 08 Sep 2026 02:42:00 GMT",https://news.google.com/rss/articles/CBMiXkFVX3lxTE9IeHBua1I0Vk81X0toRklPRmNfODRxVGkxX1pSZzlId2lTUlpob1lYR1VJejhlUVRTaENfYTJTTTl3NHRRQlY1T3pPX2dpSkx5SFJZZzVYdlIxWmNkOUHSAWNBVV95cUxPeGk5eFA4TklWdjIyRFFKLVY4aE4zZHhPVEVOWnJHRDlOQnoydkgwNUhma1JhS0hmZ0h6ZUtUZV90Yi0xU0lnUkp4WU1kdG9abHVWSjkxYl9MN3dDNGdMUnA3VFU?oc=5
2026-09-08,건강 검진,9,"“건강검진서 못 잡아내 암 키웠다”… 유방암 진단까지 2개월, 무슨 일? - 헬스조선",헬스조선,"Tue, 08 Sep 2026 00:41:42 GMT",https://news.google.com/rss/articles/CBMif0FVX3lxTFB0ekhEbTdLRnA5eDVHZm9fdlBoN0VxS0JZVDVycnJtR1pLX3RIYU94SF9rZ2NZbjlST3J1bEZibDNXOHNEZVoyak5Lcl94ZlgyM1dvSGZYUlNqcVJubEJrS0lYNFBlLUoyLVB0RWhVQ0FjZXdhTDdIT01xOVhVOTA?oc=5
2026-09-08,건강 검진,10,여성이라면 꼭 받아라… 20~50대 연령별 ‘추천 검진 항목’은? - 헬스조선,헬스조선,"Sun, 06 Sep 2026 21:00:00 GMT",https://news.google.com/rss/articles/CBMif0FVX3lxTE1ENEtkQTRERHJjcHljMUVUR3hfV2IyeVVvZ2JWU2hhcnlTdkVodDdPUzVwc211cTNoUmg1MVY4U0wyNEJiRU9WZko4RUtqS0FZaHdBUkEwRlBtaDZJY05nUHlobll3U0g1ZU1PT1llZmV1TUU2cnlaYzQ2blZKazg?oc=5
2026-09-08,건강 보험,1,외래진료 연 300회 넘으면 병원비 본인부담 90%…내년부터 시행 - v.daum.net,v.daum.net,"Tue, 08 Sep 2026 03:59:27 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1KSjdXTGxSNmlGQmd1cXNra2wwZW9jTWZPX0lJbmZpTkZqeXduLVppN2g3ejVZZW5Cemc3ZlNIbmtBWGVNcWZfZkM3dlV2Wlk?oc=5
