date,keyword,source,ratio
2026-09-01,건강 검진,related_top(건강),
2026-09-01,건강 보험,related_top(건강),
2026-09-01,정신 건강,related_top(건강),
2026-09-01,국민 건강,related_top(건강),
2026-09-01,건강 보험 공단,related_top(건강),
2026-09-01,정신 건강 의학과,related_top(건강),
2026-09-01,국민 건강 보험,related_top(건강),
2026-09-01,국민 건강 보험 공단,related_top(건강),
2026-09-01,건강 검진 센터,related_top(건강),
2026-09-01,국가 건강 검진,related_top(건강),
2026-09-01,건강검진,naver,28.69108
2026-09-01,다이어트,naver,9.28043
2026-09-01,운동·헬스,naver,14.26912
2026-09-01,영양·건강기능식품,naver,39.26759
2026-09-01,정신건강,naver,8.49178
