date,keyword,source,ratio
2026-09-17,건강 검진,related_top(건강),
2026-09-17,건강 보험,related_top(건강),
2026-09-17,정신 건강,related_top(건강),
2026-09-17,국민 건강,related_top(건강),
2026-09-17,정신 건강 의학과,related_top(건강),
2026-09-17,건강 보험 공단,related_top(건강),
2026-09-17,국민 건강 보험,related_top(건강),
2026-09-17,건강 검진 센터,related_top(건강),
2026-09-17,국가 건강 검진,related_top(건강),
2026-09-17,건강 관리 협회,related_top(건강),
2026-09-17,건강검진,naver,29.33794
2026-09-17,다이어트,naver,8.44014
2026-09-17,운동·헬스,naver,10.66472
2026-09-17,영양·건강기능식품,naver,42.80497
2026-09-17,정신건강,naver,8.75224
