date,keyword,source,ratio
2026-03-12,건강 검진,related_top(건강),
2026-03-12,건강 보험,related_top(건강),
2026-03-12,국민 건강,related_top(건강),
2026-03-12,건강 보험 공단,related_top(건강),
2026-03-12,국민 건강 보험,related_top(건강),
2026-03-12,정신 건강 의학과,related_top(건강),
2026-03-12,국민 건강 보험 공단,related_top(건강),
2026-03-12,건강 검진 센터,related_top(건강),
2026-03-12,국가 건강 검진,related_top(건강),
2026-03-12,건강 검진 예약,related_top(건강),
2026-03-12,건강검진,naver,24.52255
2026-03-12,다이어트,naver,10.12144
2026-03-12,운동·헬스,naver,15.75456
2026-03-12,영양·건강기능식품,naver,39.66191
2026-03-12,정신건강,naver,9.93955
