date,keyword,source,ratio
2026-02-25,건강 검진,related_top(건강),
2026-02-25,건강 보험,related_top(건강),
2026-02-25,건강 보험 공단,related_top(건강),
2026-02-25,국민 건강 보험,related_top(건강),
2026-02-25,정신 건강 의학과,related_top(건강),
2026-02-25,국민 건강 보험 공단,related_top(건강),
2026-02-25,국가 건강 검진,related_top(건강),
2026-02-25,건강 보험 심사 평가원,related_top(건강),
2026-02-25,국민 건강 보험 공단 장기 요양 보험,related_top(건강),
2026-02-25,건강 진단서,related_top(건강),
2026-02-25,건강검진,naver,24.90529
2026-02-25,다이어트,naver,9.82407
2026-02-25,운동·헬스,naver,17.58784
2026-02-25,영양·건강기능식품,naver,39.08350
2026-02-25,정신건강,naver,8.59930
