date,keyword,source,ratio
2026-09-14,건강 검진,related_top(건강),
2026-09-14,정신 건강,related_top(건강),
2026-09-14,국민 건강,related_top(건강),
2026-09-14,건강 보험 공단,related_top(건강),
2026-09-14,건강 검진 예약,related_top(건강),
2026-09-14,국가 건강 검진,related_top(건강),
2026-09-14,건강 관리 협회,related_top(건강),
2026-09-14,건강 검진 비용,related_top(건강),
2026-09-14,국민 건강 보험 공단,related_top(건강),
2026-09-14,kmi 건강 검진,related_top(건강),
2026-09-14,건강검진,naver,18.64586
2026-09-14,다이어트,naver,9.71524
2026-09-14,운동·헬스,naver,14.83734
2026-09-14,영양·건강기능식품,naver,46.20471
2026-09-14,정신건강,naver,10.59684
