date,keyword,source,ratio
2026-05-28,건강 검진,related_top(건강),
2026-05-28,건강 보험,related_top(건강),
2026-05-28,정신 건강,related_top(건강),
2026-05-28,국민 건강,related_top(건강),
2026-05-28,국민 건강 보험,related_top(건강),
2026-05-28,건강 보험 공단,related_top(건강),
2026-05-28,정신 건강 의학과,related_top(건강),
2026-05-28,국민 건강 보험 공단,related_top(건강),
2026-05-28,건강 검진 비용,related_top(건강),
2026-05-28,국가 건강 검진,related_top(건강),
2026-05-28,건강검진,naver,26.48101
2026-05-28,다이어트,naver,11.10126
2026-05-28,운동·헬스,naver,13.38608
2026-05-28,영양·건강기능식품,naver,38.89241
2026-05-28,정신건강,naver,10.13924
