date,keyword,source,ratio
2026-04-24,건강 검진,related_top(건강),
2026-04-24,건강 보험,related_top(건강),
2026-04-24,정신 건강,related_top(건강),
2026-04-24,국민 건강,related_top(건강),
2026-04-24,건강 검진 병원,related_top(건강),
2026-04-24,건강 보험 공단,related_top(건강),
2026-04-24,국민 건강 보험,related_top(건강),
2026-04-24,정신 건강 의학과,related_top(건강),
2026-04-24,국민 건강 보험 공단,related_top(건강),
2026-04-24,건강 보험료,related_top(건강),
2026-04-24,건강검진,naver,25.07261
2026-04-24,다이어트,naver,10.86802
2026-04-24,운동·헬스,naver,11.3585
2026-04-24,영양·건강기능식품,naver,42.29106
2026-04-24,정신건강,naver,10.40981
