date,keyword,source,ratio
2026-08-14,건강 검진,related_top(건강),
2026-08-14,건강 식품,related_top(건강),
2026-08-14,건강 보험,related_top(건강),
2026-08-14,정신 건강,related_top(건강),
2026-08-14,정신 건강 의학과,related_top(건강),
2026-08-14,건강 보험 공단,related_top(건강),
2026-08-14,국민 건강 보험,related_top(건강),
2026-08-14,국가 건강 검진,related_top(건강),
2026-08-14,국민 건강 보험 공단,related_top(건강),
2026-08-14,건강 검진 결과,related_top(건강),
2026-08-14,건강검진,naver,29.01633
2026-08-14,다이어트,naver,9.73385
2026-08-14,운동·헬스,naver,12.24448
2026-08-14,영양·건강기능식품,naver,40.27302
2026-08-14,정신건강,naver,8.73234
