date,keyword,source,ratio
2026-06-07,건강 검진,related_top(건강),
2026-06-07,정신 건강 의학과,related_top(건강),
2026-06-07,건강 보험 공단,related_top(건강),
2026-06-07,국민 건강 보험 공단,related_top(건강),
2026-06-07,건강 보험 심사 평가원,related_top(건강),
2026-06-07,국민 건강 검진,related_top(건강),
2026-06-07,kmi 건강 검진,related_top(건강),
2026-06-07,건강 검진 예약,related_top(건강),
2026-06-07,건강 관리 협회,related_top(건강),
2026-06-07,지역 사회 건강 조사,related_top(건강),
2026-06-07,건강검진,naver,16.23441
2026-06-07,다이어트,naver,13.80239
2026-06-07,운동·헬스,naver,19.85103
2026-06-07,영양·건강기능식품,naver,39.97128
2026-06-07,정신건강,naver,10.14089
