date,keyword,rank,title,source,published,url
2026-09-14,건강 검진,1,"박경혜, 혜리 덕에 큰일 피했다…“건강검진서 이상 발견해 수술” (혜리) - v.daum.net",v.daum.net,"Mon, 14 Sep 2026 04:02:00 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE5kWEJPczRKd1hBQ2JKRFFTaVJ2U2Yzck5Ed0FxZGxWQl9wdGFJQnZFU1N3UXdrdHViSGZHcVBCOV93bUJjVm5SV2pTVzQ1akk?oc=5
2026-09-14,건강 검진,2,"[게시판] 롯데멤버스, 소아암 환아 어머니 건강검진 지원 - 매일경제 마켓",매일경제 마켓,"Sun, 13 Sep 2026 21:00:06 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTE1RZ1dQVnh5OTJHai1OYWdrTDQ3cm9RaTJiTmRZS1UyeGw2UkZoXzMwYUwxaWhMeXdjaE9Nd1ZSWl9mTUtISDJKcFZRWWZOVFN3OVE?oc=5
2026-09-14,건강 검진,3,"롯데멤버스, 소아암 환아 어머니 건강검진 지원…누적 570명 검진 - 뉴스1",뉴스1,"Sun, 13 Sep 2026 21:00:00 GMT",https://news.google.com/rss/articles/CBMiX0FVX3lxTFBNSnhXb19sMFg0d2lGZ0M5c0k5U2tjcHIyMHhOOFRzSXRSc0xBZG1jTVNHd21nWWZDSWFTTFVpTDZhUGptemI0LUsta3RzYW9vdGdGd2tNdVJEMHlBUnJj0gFkQVVfeXFMTldVZE5wTFhaMHhrMFpRSXZIQjN2Wk1sdmpubldUdE05M0Uzck9JZEhWY2NRbDM5cjdsczlEMjlZQndHX0tFak13OWJscnlCSUFqYjYwekVHUFVyQ1BER1RPQVotMw?oc=5
2026-09-14,건강 검진,4,"롯데 의료재단, 소아암 가족 건강검진 지원 - 중도일보",중도일보,"Mon, 14 Sep 2026 02:49:35 GMT",https://news.google.com/rss/articles/CBMiZEFVX3lxTE5lRGs5V3dMTjJrTkRBV01QdmlPdWxjeVAtYjRaaXVtb01UTTJtdTVDenRQOXlOSng0M1ZoUVBENW1oTXVYUWRndjc5UGI4b1doSGFrMzExSWRubkpKckU5N3I4WlE?oc=5
2026-09-14,건강 검진,5,"찾아가는 맞춤형 의료 복지…고령군, 농업인 건강검진 지원에 총력 - 아주경제",아주경제,"Sun, 13 Sep 2026 10:30:16 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE80TlhNeExzNXY0dXB6dlZ5VTJ2RDZMZHJqMFJUNkVTSzdkZUZBTFI1YXNfSG80c01pM3c0SV9Oa0xTU3NlbTYzT0MzVHJLQVRxUXVjLWlMVjBfd9IBWEFVX3lxTE9FeUxxR3VDMTVMTDFDR0tMZVFVaFowaC1CMkJzeWU0akcxWi1Nal9vVWcwUlJKZ2QzX3dKVVVwVEFiYkNkd3doWVI5Rm9FZVV1VVVHSDBpa1Y?oc=5
2026-09-14,건강 검진,6,"박경혜, 혜리가 생명의 은인? ""갑자기 건강검진 받자고...이상 발견 후 수술"" [RE:뷰] - v.daum.net",v.daum.net,"Sun, 13 Sep 2026 08:02:00 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTFBjVXExaUcyNnNXcE9wUmJ2ZHFBNWUyX2NwWFphcjJPNjRGRzRfdGltelYtN0tnVU83LThzQ295Qk9SQ1p3VHNIZTQ1N29nVzQ?oc=5
2026-09-14,건강 검진,7,"박경혜, 건강검진서 이상 발견→수술까지…혜리가 살렸다 “큰일 날 뻔” - v.daum.net",v.daum.net,"Sat, 12 Sep 2026 01:34:00 GMT",https://news.google.com/rss/articles/CBMiRkFVX3lxTE83blRkcG9JdFY4ZUtTUFFkVkZZcTlWRlkxb3dJdjBHWnE0NnJqay0wVVpqZlJiS2ttT1lkV1J6ajRpcHh2Q1E?oc=5
2026-09-14,건강 검진,8,"롯데멤버스, ‘포인트 맘케어’로 소아암 환아 어머니 건강검진 지원.. 누적 570명 검진 - 한국경제",한국경제,"Sun, 13 Sep 2026 21:04:44 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE5aTE82dnNDQ2YtVm5SbWlyWmxBaEVyNTROdXd3cEs5U09pV1hmTzBxYzVwZzg3cUhtT2tfQ2lySU9ZdElhWnNKV2E3LUFjSXp2SzV1b1VTV2d4UQ?oc=5
2026-09-14,건강 검진,9,"롯데멤버스, ‘포인트 맘케어’로 소아암 환아 어머니 건강검진…누적 570명 - 싱글리스트",싱글리스트,"Sun, 13 Sep 2026 23:23:42 GMT",https://news.google.com/rss/articles/CBMiZkFVX3lxTE9yUkctb1RaUzhJdGZBSTRrYnBBa2J1X1ZvQTExMkFhNXF6YmRCdjBlbWRwVW52N0VkWG45cldUWGVwbnFWbnNQdDBLSTJYS1k3YmZYOVdfNjVQaHFITUJRR2tnczFOQQ?oc=5
2026-09-14,건강 검진,10,"[게시판] 롯데멤버스, 소아암 환아 어머니 건강검진 지원 - 연합뉴스",연합뉴스,"Sun, 13 Sep 2026 21:00:06 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTE11QkRwZzV6Y0sxcDY1b01RX19aQjZrVkVCUGFnQTV1TlJGUW10NFV6VVJIaTJTeG5CYlZWT0UtMlVVT1NnYlpwNDVPZFpiVldLeHE2QWJ5M0pDNHpfM3JlddIBYEFVX3lxTE11QkRwZzV6Y0sxcDY1b01RX19aQjZrVkVCUGFnQTV1TlJGUW10NFV6VVJIaTJTeG5CYlZWT0UtMlVVT1NnYlpwNDVPZFpiVldLeHE2QWJ5M0pDNHpfM3JldQ?oc=5
