date,keyword,source,ratio
2026-07-19,건강 검진,related_top(건강),
2026-07-19,건강 관리 협회,related_top(건강),
2026-07-19,건강 검진 비용,related_top(건강),
2026-07-19,건강 보험 심사 평가원,related_top(건강),
2026-07-19,건강 검진 결과,related_top(건강),
2026-07-19,국민 건강 보험 공단,related_top(건강),
2026-07-19,건강 검진 예약,related_top(건강),
2026-07-19,무료 건강 검진,related_top(건강),
2026-07-19,한국 건강 관리 협회,related_top(건강),
2026-07-19,건강 검진 을 받으러 갔을 뿐인데,related_top(건강),
2026-07-19,건강검진,naver,17.08831
2026-07-19,다이어트,naver,11.34204
2026-07-19,운동·헬스,naver,18.63068
2026-07-19,영양·건강기능식품,naver,42.99822
2026-07-19,정신건강,naver,9.94075
