date,keyword,source,ratio
2026-04-12,건강 검진,related_top(건강),
2026-04-12,정신 건강 의학과,related_top(건강),
2026-04-12,건강 보험 공단,related_top(건강),
2026-04-12,건강 검진 비용,related_top(건강),
2026-04-12,국민 건강 보험 공단,related_top(건강),
2026-04-12,건강 보험 심사 평가원,related_top(건강),
2026-04-12,건강 검진 예약,related_top(건강),
2026-04-12,국가 건강 검진,related_top(건강),
2026-04-12,건강 검진 대상자,related_top(건강),
2026-04-12,kmi 건강 검진,related_top(건강),
2026-04-12,건강검진,naver,17.24515
2026-04-12,다이어트,naver,11.83292
2026-04-12,운동·헬스,naver,14.58106
2026-04-12,영양·건강기능식품,naver,44.06253
2026-04-12,정신건강,naver,12.27834
