date,keyword,source,ratio
2026-05-15,건강 검진,related_top(건강),
2026-05-15,정신 건강 의학과,related_top(건강),
2026-05-15,국민 건강 보험,related_top(건강),
2026-05-15,건강 보험 공단,related_top(건강),
2026-05-15,국민 건강 보험 공단,related_top(건강),
2026-05-15,건강 검진 센터,related_top(건강),
2026-05-15,국가 건강 검진,related_top(건강),
2026-05-15,국민 건강 보험 공단 장기 요양 보험,related_top(건강),
2026-05-15,건강 기능 식품,related_top(건강),
2026-05-15,건강 보험 심사 평가원,related_top(건강),
2026-05-15,건강검진,naver,24.54
2026-05-15,다이어트,naver,11.28667
2026-05-15,운동·헬스,naver,12.17333
2026-05-15,영양·건강기능식품,naver,40.76
2026-05-15,정신건강,naver,11.24
