date,keyword,source,ratio
2026-06-23,건강 검진,related_top(건강),
2026-06-23,건강 보험,related_top(건강),
2026-06-23,국민 건강,related_top(건강),
2026-06-23,정신 건강 의학과,related_top(건강),
2026-06-23,건강 보험 공단,related_top(건강),
2026-06-23,국민 건강 보험,related_top(건강),
2026-06-23,국민 건강 보험 공단,related_top(건강),
2026-06-23,건강 관리 협회,related_top(건강),
2026-06-23,국가 건강 검진,related_top(건강),
2026-06-23,건강 검진 예약,related_top(건강),
2026-06-23,건강검진,naver,27.72336
2026-06-23,다이어트,naver,10.32011
2026-06-23,운동·헬스,naver,14.62613
2026-06-23,영양·건강기능식품,naver,38.59293
2026-06-23,정신건강,naver,8.73746
