date,keyword,source,ratio
2026-06-09,건강 검진,related_top(건강),
2026-06-09,건강 보험,related_top(건강),
2026-06-09,국민 건강,related_top(건강),
2026-06-09,국민 건강 보험,related_top(건강),
2026-06-09,정신 건강 의학과,related_top(건강),
2026-06-09,건강 보험 공단,related_top(건강),
2026-06-09,국민 건강 보험 공단,related_top(건강),
2026-06-09,건강 검진 센터,related_top(건강),
2026-06-09,건강 관리 협회,related_top(건강),
2026-06-09,국가 건강 검진,related_top(건강),
2026-06-09,건강검진,naver,27.05583
2026-06-09,다이어트,naver,11.16571
2026-06-09,운동·헬스,naver,14.56989
2026-06-09,영양·건강기능식품,naver,37.4519
2026-06-09,정신건강,naver,9.75667
