date,keyword,source,ratio
2026-08-26,건강 검진,related_top(건강),
2026-08-26,건강 보험,related_top(건강),
2026-08-26,정신 건강,related_top(건강),
2026-08-26,건강 검진 병원,related_top(건강),
2026-08-26,국민 건강,related_top(건강),
2026-08-26,국민 건강 보험,related_top(건강),
2026-08-26,건강 보험 공단,related_top(건강),
2026-08-26,국민 건강 보험 공단,related_top(건강),
2026-08-26,국가 건강 검진,related_top(건강),
2026-08-26,건강 검진 센터,related_top(건강),
2026-08-26,건강검진,naver,30.26348
2026-08-26,다이어트,naver,8.91544
2026-08-26,운동·헬스,naver,13.40686
2026-08-26,영양·건강기능식품,naver,39.61397
2026-08-26,정신건강,naver,7.80024
