date,keyword,source,ratio
2026-05-31,건강 검진,related_top(건강),
2026-05-31,건강 보험,related_top(건강),
2026-05-31,건강 보험 공단,related_top(건강),
2026-05-31,국민 건강 보험 공단,related_top(건강),
2026-05-31,건강 보험 심사 평가원,related_top(건강),
2026-05-31,국가 건강 검진,related_top(건강),
2026-05-31,건강 관리 협회,related_top(건강),
2026-05-31,건강 검진 예약,related_top(건강),
2026-05-31,지역 사회 건강 조사,related_top(건강),
2026-05-31,건강 검진 대상자,related_top(건강),
2026-05-31,건강검진,naver,18.33737
2026-05-31,다이어트,naver,13.48204
2026-05-31,운동·헬스,naver,18.31049
2026-05-31,영양·건강기능식품,naver,38.99489
2026-05-31,정신건강,naver,10.87521
