date,keyword,source,ratio
2026-03-21,건강 검진,related_top(건강),
2026-03-21,건강 보험,related_top(건강),
2026-03-21,국민 건강,related_top(건강),
2026-03-21,정신 건강 의학과,related_top(건강),
2026-03-21,건강 검진 병원,related_top(건강),
2026-03-21,건강 보험 공단,related_top(건강),
2026-03-21,국민 건강 보험,related_top(건강),
2026-03-21,국민 건강 보험 공단,related_top(건강),
2026-03-21,건강 관리 협회,related_top(건강),
2026-03-21,건강 in,related_top(건강),
2026-03-21,건강검진,naver,24.48588
2026-03-21,다이어트,naver,11.57178
2026-03-21,운동·헬스,naver,11.84289
2026-03-21,영양·건강기능식품,naver,40.83185
2026-03-21,정신건강,naver,11.2676
