date,keyword,source,ratio
2026-08-31,건강 검진,related_top(건강),
2026-08-31,건강 보험,related_top(건강),
2026-08-31,국민 건강,related_top(건강),
2026-08-31,건강 보험 공단,related_top(건강),
2026-08-31,국민 건강 보험,related_top(건강),
2026-08-31,정신 건강 의학과,related_top(건강),
2026-08-31,국민 건강 보험 공단,related_top(건강),
2026-08-31,건강 검진 센터,related_top(건강),
2026-08-31,국가 건강 검진,related_top(건강),
2026-08-31,건강 검진 예약,related_top(건강),
2026-08-31,건강검진,naver,18.4152
2026-08-31,다이어트,naver,10.45696
2026-08-31,운동·헬스,naver,17.05459
2026-08-31,영양·건강기능식품,naver,44.16396
2026-08-31,정신건강,naver,9.90929
