collected_date,keyword_group,period,ratio
2026-08-14,영양·건강기능식품,2026-08-07,38.92083
2026-08-14,영양·건강기능식품,2026-08-08,41.9331
2026-08-14,영양·건강기능식품,2026-08-09,45.19016
2026-08-14,영양·건강기능식품,2026-08-10,39.53748
2026-08-14,영양·건강기능식품,2026-08-11,43.24726
2026-08-14,영양·건강기능식품,2026-08-12,42.96495
2026-08-14,영양·건강기능식품,2026-08-13,40.27302
2026-08-14,정신건강,2026-07-16,10.15863
2026-08-14,정신건강,2026-07-17,10.38948
2026-08-14,정신건강,2026-07-18,9.94075
2026-08-14,정신건강,2026-07-19,9.96202
2026-08-14,정신건강,2026-07-20,8.09881
2026-08-14,정신건강,2026-07-21,8.21918
2026-08-14,정신건강,2026-07-22,9.01574
2026-08-14,정신건강,2026-07-23,8.90307
2026-08-14,정신건강,2026-07-24,9.56408
2026-08-14,정신건강,2026-07-25,10.63363
2026-08-14,정신건강,2026-07-26,9.86415
2026-08-14,정신건강,2026-07-27,8.68347
2026-08-14,정신건강,2026-07-28,9.03026
2026-08-14,정신건강,2026-07-29,9.21091
2026-08-14,정신건강,2026-07-30,8.88708
2026-08-14,정신건강,2026-07-31,9.17409
2026-08-14,정신건강,2026-08-01,9.96763
2026-08-14,정신건강,2026-08-02,9.35978
2026-08-14,정신건강,2026-08-03,8.34751
2026-08-14,정신건강,2026-08-04,8.03659
2026-08-14,정신건강,2026-08-05,8.60164
2026-08-14,정신건강,2026-08-06,8.8468
2026-08-14,정신건강,2026-08-07,9.56542
2026-08-14,정신건강,2026-08-08,10.36776
2026-08-14,정신건강,2026-08-09,9.67992
2026-08-14,정신건강,2026-08-10,8.21154
2026-08-14,정신건강,2026-08-11,8.16859
2026-08-14,정신건강,2026-08-12,8.14519
2026-08-14,정신건강,2026-08-13,8.73234
