date,keyword,rank,title,source,published,url
2026-09-11,건강 검진,1,"안양 만안보건소, '찾아가는 혈관 건강검진' 무료 운영 - 뉴시스",뉴시스,"Fri, 11 Sep 2026 01:40:19 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTE1yWXhRaUxfbElOWE5mZjU4NGJ1UUI1bFNaNmZzeFFxSUY3ODRZVHhWRjRYcUxvazFFX0hMT3BvWGY4OFNCSDBHS3ZPYVA2YXNIeWxwSGhQNnRVNU5tdmZNUdIBeEFVX3lxTE9vSVZUcjMyc241dDFBTlZyNjNzRVQ3d3BSVGdxT0hHWDlfLVo0Qld3NnZiQnkyMWF3by1JRWxCNy1xZTNFQlBFVnZNTzRlZy1oMHp0MTU2aDV0WExZOUpqS2FJVU9ydkFuQXZrLUZ5dGlWS3FocXMtcw?oc=5
2026-09-11,건강 검진,2,"남해군, 여성어업인 특화건강검진 대상자 추가 모집…직업성 질환 예방 - 뉴스핌",뉴스핌,"Fri, 11 Sep 2026 01:37:00 GMT",https://news.google.com/rss/articles/CBMiXEFVX3lxTE1NbFVVeS1LRUlGbjlYTEc1dkxTRVZYZUpZaHRDcFpKYzRlX05pNlB2dFV0RVdsWXlrM2JXdXlfd0lyYVp4WUFBRF9aeHduUVB1MFhNemhta1lzOE01?oc=5
2026-09-11,건강 검진,3,"경남도-KMI, 다문화가족 '무료 건강검진' 12년째 이어간다 - 한국일보",한국일보,"Thu, 10 Sep 2026 07:45:00 GMT",https://news.google.com/rss/articles/CBMibkFVX3lxTE55dHR6UTl3Tld6LVFfWkc5aWVEaXFtUi1NZUZ2MW1LOHRaM1RmRGoxUy1HUGVURGJ4MjNMRnp2Q2FCQ3NneXhkZjQ1WjBSa2N5VFJMZExzbzZuWVFDcUVEQkhidTI5OGpmT0duRjRn0gFzQVVfeXFMTUd4OFZNSjdneTdrTnJyT3pCbVJQX0VZU2M4bEZ4NVMzQVN4TkM3ME9MLTZWOU9TU0J1T2ZtNXpnNkZZWTh5Y2pCQ2ttQ2l3ZGNWV1ZxX1l0dXRxc2VOQkpxRHJMck1zLTVXOC0xeXRkY2FVNA?oc=5
2026-09-11,건강 검진,4,’거짓으로 건강검진 공가 냈다가’…구청 공무원 6명 검찰행 - 연합뉴스TV,연합뉴스TV,"Tue, 08 Sep 2026 08:55:00 GMT",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9ZR2c1NUlaNzBaTFVtV1dwa05LcUlBalFlOUotYmtZLW82OEdmT0VRTF9NZFJoRmQzTnU1QmxRblVCblV2Wk44ZEQ5OG0xTHhRTWdpYlprYVY2NWNfYWdXSzY4bTZoTTg?oc=5
2026-09-11,건강 검진,5,“위생모 안 쓰고 건강검진도 안 해”…추석 앞 전북 축산물 위생 ‘빨간불’ - 전북일보 인터넷신문,전북일보 인터넷신문,"Thu, 10 Sep 2026 07:31:08 GMT",https://news.google.com/rss/articles/CBMiVEFVX3lxTE9BdTJwZjJGNnd2VkxmdVc2N0pidFRia1ZlQ3RJekl0cklhWUNOcHo5c3ltSkxVOEhMTzA4ZTBaR3RnV2NQLUloS1hTYU1pb1dnRXcxONIBWEFVX3lxTE1pX0FQRWNwbnpTWmROTlBUa1hyeV96LXhjeTk4enNBNjB1MzhiT29WZWpyS2E1b1NGT0hNaHF1TWhYaU9EQ1djbVJKNzRfV0R5Q3pQdDAtSHc?oc=5
2026-09-11,건강 검진,6,"건강검진서 발견된 췌장 물혹, 암 될까? - 헬스조선",헬스조선,"Mon, 07 Sep 2026 23:00:00 GMT",https://news.google.com/rss/articles/CBMif0FVX3lxTE01eHJLU1Rrb0JEZEoyQ2NZdC1XTlBESGRycHFLYm9SRE5vRGROVEdXc1dyd3l5aHV3VU5nYnl0ZnlKcjlqVnNHWm9sRGRSTzcycXhoOE4yMjM2ZHA3d0QtQk80UGJIOTU2TEJOdjdVdlF3em9ROXhyZkd2RW9adGM?oc=5
2026-09-11,건강 검진,7,건강검진 휴가 내놓고 검진 안받아…공무원 6명 檢송치 - 동아일보,동아일보,"Tue, 08 Sep 2026 07:22:00 GMT",https://news.google.com/rss/articles/CBMidkFVX3lxTE5Pb2tmZjFiN3IzWHFQWXpnaWtxSUVLUnc5YXdZWVJoWlkzdzE1SXhvZ0k3OTc2X0ZGNXJUM0M1R2IzdE56RV9YbzRXNEJhU2pMU1ZEbVB0a3Q0c3k1QWVFX0gyRl9OTTlCMmJyU1RKeERKQkQ0WGfSAWZBVV95cUxPWkp5UE9ZRXZ3d0xMUDh6dFFjcUNMZThfeHEzT0hYdk4tRFZBaF9IMWVMMWhGOVVMSkhjVjNpenl3QlByUjlnU0FNOVAyVTZSS1FRdW90MXhKMVdGTEVtZHE0d1dmeUE?oc=5
2026-09-11,건강 검진,8,"경남도-한국의학연구소, 다문화 가족 무료 건강검진 지원 - 뉴시스",뉴시스,"Thu, 10 Sep 2026 08:10:06 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTFBpRWlYMlY3OVpBakt2dUNKejViTXFjUHltSFdLOGJEZHZJNXM5OV93dEh4VWxEdXlBS0VvaHhEQmh0NE96V0dMYmhsVC1FWGtETFZpek1seUhERnhkXzdQVNIBeEFVX3lxTFBEa1dVTldQTV9JVFlTdkk4RTVxRW5IT0Q2R0dfVFRNSUZwM0t5cFFOUDhTa2VuYzJmTEF5V0VlZWFPM1BpN3lkSkx1UWpsVWVPOG9FLVQ0My0wSzRGcHg3Znc0U05TRnRLSHppUWNib0doSmdxeGN2YQ?oc=5
2026-09-11,건강 검진,9,‘생애 첫 건강검진’ 영상 올렸다가…“의료법 위반” 진정 당한 女아이돌 - v.daum.net,v.daum.net,"Tue, 08 Sep 2026 05:33:50 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE9LT0Q3Ym1RdDdNS1JuTGp1Y2VGSkRiMEpNOVpmOTVyX0hCa3Y1ck95RW5tUUIyRHpNLVNLZm93UGZzTW1HZTd6blhDZGV6dzQ?oc=5
2026-09-11,건강 검진,10,미연 건강검진 공개했다 '날벼락'…'의료법 위반' 진정에 제작진 입 열었다[이슈S] - v.daum.net,v.daum.net,"Tue, 08 Sep 2026 10:26:38 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTE1mcWFEaVZEUDdaZnZFRmJiV2k4UjlJQWU5NXhJcEpSR19meHJtcVd2SHdfYmY1TlhCV1FEX28tYU1MLUd2cFhpcWZTUEg2Q3NzSkl4MVp0azRXTWc?oc=5
