collected_date,keyword_group,period,ratio
2026-08-24,건강검진,2026-07-26,19.63953
2026-08-24,건강검진,2026-07-27,30.3476
2026-08-24,건강검진,2026-07-28,29.68529
2026-08-24,건강검진,2026-07-29,30.229
2026-08-24,건강검진,2026-07-30,29.58414
2026-08-24,건강검진,2026-07-31,28.78543
2026-08-24,건강검진,2026-08-01,19.8115
2026-08-24,건강검진,2026-08-02,18.99407
2026-08-24,건강검진,2026-08-03,31.51263
2026-08-24,건강검진,2026-08-04,29.9875
2026-08-24,건강검진,2026-08-05,29.13916
2026-08-24,건강검진,2026-08-06,29.38808
2026-08-24,건강검진,2026-08-07,27.33195
2026-08-24,건강검진,2026-08-08,19.41416
2026-08-24,건강검진,2026-08-09,17.26037
2026-08-24,건강검진,2026-08-10,29.06028
2026-08-24,건강검진,2026-08-11,26.83289
2026-08-24,건강검진,2026-08-12,27.07996
2026-08-24,건강검진,2026-08-13,29.01633
2026-08-24,건강검진,2026-08-14,26.26295
2026-08-24,건강검진,2026-08-15,16.96982
2026-08-24,건강검진,2026-08-16,15.93093
2026-08-24,건강검진,2026-08-17,18.40527
2026-08-24,건강검진,2026-08-18,29.40893
2026-08-24,건강검진,2026-08-19,29.97304
2026-08-24,건강검진,2026-08-20,29.07228
2026-08-24,건강검진,2026-08-21,28.20549
2026-08-24,건강검진,2026-08-22,19.89462
2026-08-24,건강검진,2026-08-23,18.83241
2026-08-24,다이어트,2026-07-26,12.09269
2026-08-24,다이어트,2026-07-27,10.40234
2026-08-24,다이어트,2026-07-28,10.7487
2026-08-24,다이어트,2026-07-29,10.4507
2026-08-24,다이어트,2026-07-30,10.35223
2026-08-24,다이어트,2026-07-31,10.33198
2026-08-24,다이어트,2026-08-01,12.09063
2026-08-24,다이어트,2026-08-02,12.45019
2026-08-24,다이어트,2026-08-03,9.95401
2026-08-24,다이어트,2026-08-04,10.25472
2026-08-24,다이어트,2026-08-05,10.35296
2026-08-24,다이어트,2026-08-06,10.01978
2026-08-24,다이어트,2026-08-07,10.38553
2026-08-24,다이어트,2026-08-08,11.43966
2026-08-24,다이어트,2026-08-09,11.72775
2026-08-24,다이어트,2026-08-10,9.91959
2026-08-24,다이어트,2026-08-11,9.53398
2026-08-24,다이어트,2026-08-12,9.52351
2026-08-24,다이어트,2026-08-13,9.73385
2026-08-24,다이어트,2026-08-14,9.59759
2026-08-24,다이어트,2026-08-15,10.95417
2026-08-24,다이어트,2026-08-16,11.60989
2026-08-24,다이어트,2026-08-17,11.15108
2026-08-24,다이어트,2026-08-18,9.90129
2026-08-24,다이어트,2026-08-19,9.40679
2026-08-24,다이어트,2026-08-20,9.82438
2026-08-24,다이어트,2026-08-21,9.71998
2026-08-24,다이어트,2026-08-22,11.1101
2026-08-24,다이어트,2026-08-23,10.88813
2026-08-24,운동·헬스,2026-07-26,18.19231
2026-08-24,운동·헬스,2026-07-27,15.13242
2026-08-24,운동·헬스,2026-07-28,14.22603
2026-08-24,운동·헬스,2026-07-29,14.00963
2026-08-24,운동·헬스,2026-07-30,14.08169
2026-08-24,운동·헬스,2026-07-31,14.59919
2026-08-24,운동·헬스,2026-08-01,17.09825
2026-08-24,운동·헬스,2026-08-02,18.94979
2026-08-24,운동·헬스,2026-08-03,14.54671
2026-08-24,운동·헬스,2026-08-04,13.88139
2026-08-24,운동·헬스,2026-08-05,14.10481
2026-08-24,운동·헬스,2026-08-06,13.53166
2026-08-24,운동·헬스,2026-08-07,13.79627
2026-08-24,운동·헬스,2026-08-08,16.84532
2026-08-24,운동·헬스,2026-08-09,16.1418
2026-08-24,운동·헬스,2026-08-10,13.27111
2026-08-24,운동·헬스,2026-08-11,12.21727
2026-08-24,운동·헬스,2026-08-12,12.28639
2026-08-24,운동·헬스,2026-08-13,12.24448
2026-08-24,운동·헬스,2026-08-14,13.67697
2026-08-24,운동·헬스,2026-08-15,18.11808
2026-08-24,운동·헬스,2026-08-16,17.18152
2026-08-24,운동·헬스,2026-08-17,17.11631
2026-08-24,운동·헬스,2026-08-18,12.94691
2026-08-24,운동·헬스,2026-08-19,12.26866
2026-08-24,운동·헬스,2026-08-20,11.93688
2026-08-24,운동·헬스,2026-08-21,12.48509
2026-08-24,운동·헬스,2026-08-22,16.86046
2026-08-24,운동·헬스,2026-08-23,17.09097
2026-08-24,영양·건강기능식품,2026-07-26,40.21131
2026-08-24,영양·건강기능식품,2026-07-27,35.43418
2026-08-24,영양·건강기능식품,2026-07-28,36.30972
2026-08-24,영양·건강기능식품,2026-07-29,36.09977
2026-08-24,영양·건강기능식품,2026-07-30,37.09487
2026-08-24,영양·건강기능식품,2026-07-31,37.10931
2026-08-24,영양·건강기능식품,2026-08-01,41.03199
2026-08-24,영양·건강기능식품,2026-08-02,40.24617
2026-08-24,영양·건강기능식품,2026-08-03,35.63914
2026-08-24,영양·건강기능식품,2026-08-04,37.8398
2026-08-24,영양·건강기능식품,2026-08-05,37.80143
2026-08-24,영양·건강기능식품,2026-08-06,38.21368
2026-08-24,영양·건강기능식품,2026-08-07,38.92083
2026-08-24,영양·건강기능식품,2026-08-08,41.9331
2026-08-24,영양·건강기능식품,2026-08-09,45.19016
2026-08-24,영양·건강기능식품,2026-08-10,39.53748
2026-08-24,영양·건강기능식품,2026-08-11,43.24726
2026-08-24,영양·건강기능식품,2026-08-12,42.96495
2026-08-24,영양·건강기능식품,2026-08-13,40.27302
2026-08-24,영양·건강기능식품,2026-08-14,41.22856
2026-08-24,영양·건강기능식품,2026-08-15,44.74139
2026-08-24,영양·건강기능식품,2026-08-16,46.09427
2026-08-24,영양·건강기능식품,2026-08-17,44.64179
2026-08-24,영양·건강기능식품,2026-08-18,39.46672
2026-08-24,영양·건강기능식품,2026-08-19,40.77706
2026-08-24,영양·건강기능식품,2026-08-20,40.86918
2026-08-24,영양·건강기능식품,2026-08-21,40.15721
2026-08-24,영양·건강기능식품,2026-08-22,41.4335
2026-08-24,영양·건강기능식품,2026-08-23,43.12133
2026-08-24,정신건강,2026-07-26,9.86415
2026-08-24,정신건강,2026-07-27,8.68347
2026-08-24,정신건강,2026-07-28,9.03026
2026-08-24,정신건강,2026-07-29,9.21091
2026-08-24,정신건강,2026-07-30,8.88708
2026-08-24,정신건강,2026-07-31,9.17409
2026-08-24,정신건강,2026-08-01,9.96763
