date,keyword,source,ratio
2026-03-18,건강 검진,related_top(건강),
2026-03-18,정신 건강,related_top(건강),
2026-03-18,국민 건강,related_top(건강),
2026-03-18,건강 보험 공단,related_top(건강),
2026-03-18,국민 건강 보험,related_top(건강),
2026-03-18,정신 건강 의학과,related_top(건강),
2026-03-18,국민 건강 보험 공단,related_top(건강),
2026-03-18,국가 건강 검진,related_top(건강),
2026-03-18,건강 보험 심사 평가원,related_top(건강),
2026-03-18,건강 검진 비용,related_top(건강),
2026-03-18,건강검진,naver,26.00567
2026-03-18,다이어트,naver,11.21225
2026-03-18,운동·헬스,naver,12.5913
2026-03-18,영양·건강기능식품,naver,40.5756
2026-03-18,정신건강,naver,9.61517
