date,keyword,source,ratio
2026-04-07,건강 검진,related_top(건강),
2026-04-07,국민 건강,related_top(건강),
2026-04-07,국민 건강 보험,related_top(건강),
2026-04-07,건강 보험 공단,related_top(건강),
2026-04-07,정신 건강 의학과,related_top(건강),
2026-04-07,국민 건강 보험 공단,related_top(건강),
2026-04-07,건강 식품,related_top(건강),
2026-04-07,국가 건강 검진,related_top(건강),
2026-04-07,건강 보험 심사 평가원,related_top(건강),
2026-04-07,건강 검진 예약,related_top(건강),
2026-04-07,건강검진,naver,23.92093
2026-04-07,다이어트,naver,11.61427
2026-04-07,운동·헬스,naver,12.4295
2026-04-07,영양·건강기능식품,naver,41.54336
2026-04-07,정신건강,naver,10.49193
