date,keyword,source,ratio
2026-05-25,건강 검진,related_top(건강),
2026-05-25,정신 건강,related_top(건강),
2026-05-25,건강 보험 공단,related_top(건강),
2026-05-25,국민 건강 보험 공단,related_top(건강),
2026-05-25,건강 정보,related_top(건강),
2026-05-25,건강 보험 심사 평가원,related_top(건강),
2026-05-25,국가 건강 검진,related_top(건강),
2026-05-25,건강 검진 결과,related_top(건강),
2026-05-25,건강 검진 예약,related_top(건강),
2026-05-25,지역 사회 건강 조사,related_top(건강),
2026-05-25,건강검진,naver,14.72047
2026-05-25,다이어트,naver,13.28147
2026-05-25,운동·헬스,naver,18.65824
2026-05-25,영양·건강기능식품,naver,41.72096
2026-05-25,정신건강,naver,11.61886
