date,keyword,source,ratio
2026-04-06,건강 검진,related_top(건강),
2026-04-06,정신 건강,related_top(건강),
2026-04-06,건강 보험,related_top(건강),
2026-04-06,정신 건강 의학과,related_top(건강),
2026-04-06,건강 보험 공단,related_top(건강),
2026-04-06,국민 건강 보험 공단,related_top(건강),
2026-04-06,국가 건강 검진,related_top(건강),
2026-04-06,건강 검진 예약,related_top(건강),
2026-04-06,국민 건강 보험 공단 장기 요양 보험,related_top(건강),
2026-04-06,건강 보험 심사 평가원,related_top(건강),
2026-04-06,건강검진,naver,15.04425
2026-04-06,다이어트,naver,13.09887
2026-04-06,운동·헬스,naver,14.83064
2026-04-06,영양·건강기능식품,naver,45.11749
2026-04-06,정신건강,naver,11.90876
