date,keyword,source,ratio
2026-04-09,건강 검진,related_top(건강),
2026-04-09,건강 보험,related_top(건강),
2026-04-09,국민 건강,related_top(건강),
2026-04-09,건강 보험 공단,related_top(건강),
2026-04-09,국민 건강 보험,related_top(건강),
2026-04-09,국민 건강 보험 공단,related_top(건강),
2026-04-09,건강 검진 센터,related_top(건강),
2026-04-09,건강 기능 식품,related_top(건강),
2026-04-09,국립 정신 건강 센터,related_top(건강),
2026-04-09,건강 검진 비용,related_top(건강),
2026-04-09,건강검진,naver,22.70482
2026-04-09,다이어트,naver,10.99542
2026-04-09,운동·헬스,naver,12.2925
2026-04-09,영양·건강기능식품,naver,43.19629
2026-04-09,정신건강,naver,10.81097
