date,keyword,source,ratio
2026-06-25,질병 코드,related_top(질병),
2026-06-25,질병 관리청,related_top(질병),
2026-06-25,질병 보건 통합 관리 시스템,related_top(질병),
2026-06-25,질병 관리청 통합 관리 시스템,related_top(질병),
2026-06-25,호흡 기관 질병,related_top(질병),
2026-06-25,질병 분류 기호,related_top(질병),
2026-06-25,배설 기관 질병,related_top(질병),
2026-06-25,소화 기관 질병,related_top(질병),
2026-06-25,순환 기관 질병,related_top(질병),
2026-06-25,질병 관리청 질병 보건 통합 관리 시스템,related_top(질병),
2026-06-25,건강검진,naver,26.10828
2026-06-25,다이어트,naver,10.18046
2026-06-25,운동·헬스,naver,12.96587
2026-06-25,영양·건강기능식품,naver,40.66955
2026-06-25,정신건강,naver,10.07585
