date,keyword,source,ratio
2026-09-18,건강 검진,related_top(건강),
2026-09-18,건강 보험,related_top(건강),
2026-09-18,국민 건강,related_top(건강),
2026-09-18,건강 보험 공단,related_top(건강),
2026-09-18,국가 건강 검진,related_top(건강),
2026-09-18,국민 건강 보험,related_top(건강),
2026-09-18,국민 건강 보험 공단,related_top(건강),
2026-09-18,건강 검진 결과,related_top(건강),
2026-09-18,건강 관리 협회,related_top(건강),
2026-09-18,건강 검진 금식,related_top(건강),
2026-09-18,건강검진,naver,28.18942
2026-09-18,다이어트,naver,8.14727
2026-09-18,운동·헬스,naver,10.89376
2026-09-18,영양·건강기능식품,naver,43.91754
2026-09-18,정신건강,naver,8.85201
