date,keyword,source,ratio
2026-07-13,건강 검진,related_top(건강),
2026-07-13,건강 보험,related_top(건강),
2026-07-13,정신 건강 의학과,related_top(건강),
2026-07-13,건강 보험 공단,related_top(건강),
2026-07-13,국민 건강 보험 공단,related_top(건강),
2026-07-13,건강 관리 협회,related_top(건강),
2026-07-13,국가 건강 검진,related_top(건강),
2026-07-13,건강 검진 금식,related_top(건강),
2026-07-13,건강 검진 예약,related_top(건강),
2026-07-13,건강 검진 비용,related_top(건강),
2026-07-13,건강검진,naver,16.69289
2026-07-13,다이어트,naver,12.49781
2026-07-13,운동·헬스,naver,18.78168
2026-07-13,영양·건강기능식품,naver,41.39137
2026-07-13,정신건강,naver,10.63625
