date,keyword,source,ratio
2026-03-27,건강 검진,related_top(건강),
2026-03-27,건강 보험,related_top(건강),
2026-03-27,국민 건강,related_top(건강),
2026-03-27,정신 건강 의학과,related_top(건강),
2026-03-27,국민 건강 보험,related_top(건강),
2026-03-27,건강 보험 공단,related_top(건강),
2026-03-27,국민 건강 보험 공단,related_top(건강),
2026-03-27,건강 검진 센터,related_top(건강),
2026-03-27,건강 관리 협회,related_top(건강),
2026-03-27,건강 검진 결과,related_top(건강),
2026-03-27,건강검진,naver,24.30038
2026-03-27,다이어트,naver,11.85685
2026-03-27,운동·헬스,naver,12.03872
2026-03-27,영양·건강기능식품,naver,41.50191
2026-03-27,정신건강,naver,10.30214
