date,keyword,source,ratio
2026-08-27,건강 검진,related_top(건강),
2026-08-27,정신 건강,related_top(건강),
2026-08-27,국민 건강,related_top(건강),
2026-08-27,정신 건강 의학과,related_top(건강),
2026-08-27,건강 보험 공단,related_top(건강),
2026-08-27,국민 건강 보험,related_top(건강),
2026-08-27,국민 건강 보험 공단,related_top(건강),
2026-08-27,건강 검진 결과,related_top(건강),
2026-08-27,국가 건강 검진,related_top(건강),
2026-08-27,건강 검진 비용,related_top(건강),
2026-08-27,건강검진,naver,29.17723
2026-08-27,다이어트,naver,8.9503
2026-08-27,운동·헬스,naver,12.51268
2026-08-27,영양·건강기능식품,naver,41.04336
2026-08-27,정신건강,naver,8.31643
