date,keyword,source,ratio
2026-03-25,건강 검진,related_top(건강),
2026-03-25,건강 보험,related_top(건강),
2026-03-25,국민 건강,related_top(건강),
2026-03-25,건강 보험 공단,related_top(건강),
2026-03-25,국민 건강 보험,related_top(건강),
2026-03-25,국민 건강 보험 공단,related_top(건강),
2026-03-25,정신 건강 의학과,related_top(건강),
2026-03-25,국가 건강 검진,related_top(건강),
2026-03-25,건강 검진 센터,related_top(건강),
2026-03-25,건강 검진 예약,related_top(건강),
2026-03-25,건강검진,naver,25.68047
2026-03-25,다이어트,naver,11.18202
2026-03-25,운동·헬스,naver,11.61294
2026-03-25,영양·건강기능식품,naver,42.00622
2026-03-25,정신건강,naver,9.51835
