date,keyword,source,ratio
2026-03-17,건강 검진,related_top(건강),
2026-03-17,건강 보험,related_top(건강),
2026-03-17,국민 건강,related_top(건강),
2026-03-17,건강 보험 공단,related_top(건강),
2026-03-17,국민 건강 보험,related_top(건강),
2026-03-17,국민 건강 보험 공단,related_top(건강),
2026-03-17,건강 보험 심사 평가원,related_top(건강),
2026-03-17,국가 건강 검진,related_top(건강),
2026-03-17,건강 관리 협회,related_top(건강),
2026-03-17,건강 검진 예약,related_top(건강),
2026-03-17,건강검진,naver,23.61618
2026-03-17,다이어트,naver,11.01072
2026-03-17,운동·헬스,naver,13.82463
2026-03-17,영양·건강기능식품,naver,40.98406
2026-03-17,정신건강,naver,10.56441
