date,keyword,source,ratio
2026-08-25,건강 검진,related_top(건강),
2026-08-25,건강 보험,related_top(건강),
2026-08-25,건강 검진 병원,related_top(건강),
2026-08-25,국민 건강,related_top(건강),
2026-08-25,정신 건강 의학과,related_top(건강),
2026-08-25,건강 보험 공단,related_top(건강),
2026-08-25,국민 건강 보험,related_top(건강),
2026-08-25,국민 건강 보험 공단,related_top(건강),
2026-08-25,건강 검진 센터,related_top(건강),
2026-08-25,국가 건강 검진,related_top(건강),
2026-08-25,건강검진,naver,31.05957
2026-08-25,다이어트,naver,10.15443
2026-08-25,운동·헬스,naver,12.83167
2026-08-25,영양·건강기능식품,naver,37.64236
2026-08-25,정신건강,naver,8.31196
