date,keyword,source,ratio
2026-05-20,의료 ai,related_top(의료),
2026-05-20,씨젠 의료 재단,related_top(의료),
2026-05-20,의료 기사,related_top(의료),
2026-05-20,연명 의료,related_top(의료),
2026-05-20,의료 사고,related_top(의료),
2026-05-20,삼광 의료 재단,related_top(의료),
2026-05-20,신원 의료 재단,related_top(의료),
2026-05-20,녹십자 의료 재단,related_top(의료),
2026-05-20,이원 의료 재단,related_top(의료),
2026-05-20,보건 의료 정보 관리사,related_top(의료),
2026-05-20,건강검진,naver,26.08275
2026-05-20,다이어트,naver,11.76205
2026-05-20,운동·헬스,naver,12.94793
2026-05-20,영양·건강기능식품,naver,38.20573
2026-05-20,정신건강,naver,11.00154
