date,keyword,source,ratio
2026-07-16,건강 검진,related_top(건강),
2026-07-16,건강 보험,related_top(건강),
2026-07-16,정신 건강 의학과,related_top(건강),
2026-07-16,건강 보험 공단,related_top(건강),
2026-07-16,국민 건강 보험,related_top(건강),
2026-07-16,국민 건강 보험 공단,related_top(건강),
2026-07-16,건강 식품,related_top(건강),
2026-07-16,정신 건강 의학,related_top(건강),
2026-07-16,건강 검진 센터,related_top(건강),
2026-07-16,국가 건강 검진,related_top(건강),
2026-07-16,건강검진,naver,26.90766
2026-07-16,다이어트,naver,10.16246
2026-07-16,운동·헬스,naver,13.56636
2026-07-16,영양·건강기능식품,naver,40.36149
2026-07-16,정신건강,naver,9.00204
