date,keyword,source,ratio
2026-05-17,건강 검진,related_top(건강),
2026-05-17,건강 보험,related_top(건강),
2026-05-17,국민 건강 보험,related_top(건강),
2026-05-17,국민 건강 보험 공단,related_top(건강),
2026-05-17,건강 보험 심사 평가원,related_top(건강),
2026-05-17,건강 정보,related_top(건강),
2026-05-17,건강 검진 결과,related_top(건강),
2026-05-17,건강 검진 예약,related_top(건강),
2026-05-17,건강 검진 비용,related_top(건강),
2026-05-17,건강 박수,related_top(건강),
2026-05-17,건강검진,naver,16.68904
2026-05-17,다이어트,naver,12.86426
2026-05-17,운동·헬스,naver,15.78796
2026-05-17,영양·건강기능식품,naver,41.75614
2026-05-17,정신건강,naver,12.90261
